id,date,scanner,min,max,err,pixels,minf,maxf,errf,created_at,updated_at
827,08-01-2018,K237,35154,36275,3.14,11,35714,35718,0.01,,58:44.1
835,05-01-2018,K167,34773,36646,5.25,44,35672,35696,0.07,,03:07.6
833,05-01-2018,K147,35319,35794,1.34,38,35560,35570,0.03,,03:07.6
831,05-01-2018,K150,34959,36508,4.33,32,35707,35723,0.04,,03:07.6
832,05-01-2018,K173,35015,36370,3.8,77,35706,35732,0.07,,03:07.6
834,05-01-2018,K149,35232,36045,2.28,43,35712,35737,0.07,,03:07.6
838,05-01-2018,K147,35319,35794,1.34,38,35560,35570,0.03,,18:31.5
836,05-01-2018,K150,34959,36508,4.33,32,35707,35723,0.04,,18:31.5
837,05-01-2018,K173,35015,36370,3.8,77,35706,35732,0.07,,18:31.5
840,05-01-2018,K167,34773,36646,5.25,44,35672,35696,0.07,,18:31.5
839,05-01-2018,K149,35232,36045,2.28,43,35712,35737,0.07,,18:31.5
841,05-09-2016,H129,35312,36029,2.01,35,35688,35747,0.17,,
842,05-09-2016,H130,35186,36120,2.62,-1,35707,35741,0.1,,
843,05-09-2016,H128,35250,36170,2.58,146,35719,35746,0.08,,
844,05-09-2016,H127,35301,36100,2.24,165,35722,35748,0.07,,
845,05-06-2017,K208,35441,35889,1.26,41,35698,35709,0.03,,
846,05-06-2017,K210,35383,36068,1.92,44,35713,35725,0.03,,
847,05-06-2017,K209,34537,36496,5.52,23,35513,35542,0.08,,
848,05-06-2017,K172,34958,36154,3.36,21,35532,35550,0.05,,
849,06-06-2017,K150,34960,36494,4.29,32,35709,35724,0.04,,
850,06-06-2017,K173,35015,36370,3.8,77,35706,35732,0.07,,
851,06-06-2017,K147,35320,35800,1.35,38,35560,35571,0.03,,
852,06-06-2017,K149,35232,36045,2.28,43,35712,35737,0.07,,
853,06-06-2017,K167,34773,36646,5.25,44,35672,35696,0.07,,
854,06-07-2017,H129,35318,36026,1.98,44,35689,35745,0.16,,
855,06-07-2017,H130,35186,36120,2.62,-1,35707,35741,0.1,,
856,06-07-2017,H128,35255,36174,2.57,146,35722,35742,0.06,,
857,06-07-2017,H127,35294,36120,2.31,168,35722,35747,0.07,,
861,06-01-2018,K172,34958,36154,3.36,21,35532,35550,0.05,,04:04.6
858,06-01-2018,K208,35441,35889,1.26,41,35698,35709,0.03,,04:04.6
859,06-01-2018,K210,35383,36068,1.92,44,35713,35725,0.03,,04:04.6
860,06-01-2018,K209,34537,36496,5.52,23,35513,35542,0.08,,04:04.6
862,07-11-2016,K150,34962,36508,4.33,33,35709,35724,0.04,,
863,07-11-2016,K173,35029,36384,3.79,77,35706,35734,0.08,,
864,07-11-2016,K147,35318,35800,1.36,41,35558,35571,0.04,,
865,07-11-2016,K149,35232,36045,2.28,43,35712,35737,0.07,,
866,07-11-2016,K167,34790,36643,5.19,41,35671,35695,0.07,,
867,07-09-2016,H129,35327,36021,1.95,49,35690,35744,0.15,,
868,07-09-2016,H130,35186,36120,2.62,-1,35707,35741,0.1,,
869,07-09-2016,H128,35265,36165,2.52,146,35723,35744,0.06,,
870,07-09-2016,H127,35282,36106,2.31,168,35720,35748,0.08,,
874,07-01-2018,K172,34958,36151,3.36,21,35529,35553,0.07,,45:13.2
871,07-01-2018,K208,35431,35887,1.28,43,35696,35708,0.03,,45:13.2
872,07-01-2018,K210,35377,36069,1.94,44,35712,35726,0.04,,45:13.2
873,07-01-2018,K209,34529,36504,5.56,26,35517,35532,0.04,,45:13.2
875,08-11-2017,K121,35318,36257,2.62,30,35716,35735,0.05,,
876,08-11-2017,K168,35158,35971,2.29,42,35540,35567,0.08,,
877,08-11-2017,K115,35255,35816,1.58,35,35541,35553,0.03,,
878,08-11-2017,K114,35152,36107,2.68,22,35714,35736,0.06,,
879,08-11-2017,K171,35206,36142,2.62,47,35713,35738,0.07,,
881,08-01-2018,H161,35105,36398,3.62,14,35740,35752,0.03,,21:51.6
882,08-01-2018,H162,35388,36050,1.85,29,35741,35772,0.09,,21:51.6
880,08-01-2018,H163,34934,36523,4.45,57,35703,35774,0.2,,21:51.6
885,08-01-2018,K169,34885,36189,3.67,49,35560,35574,0.04,,26:32.4
883,08-01-2018,K120,35063,35927,2.43,44,35527,35542,0.04,,26:32.5
884,08-01-2018,K141,35343,36058,2,27,35672,35707,0.1,,26:32.5
886,07-01-2018,H142,34872,36421,4.35,94,35713,35779,0.18,,57:49.0
887,07-01-2018,H147,35109,36273,3.26,74,35716,35769,0.15,,57:49.0
889,07-01-2018,H152,34253,36675,6.83,19,35689,35800,0.31,,57:49.0
894,07-01-2018,H153,35208,36180,2.72,35,35706,35767,0.17,,57:49.0
890,07-01-2018,H154,34609,36593,5.57,106,35741,35781,0.11,,57:49.0
888,07-01-2018,H151,35351,36058,1.98,17,35735,35790,0.15,,57:49.1
893,07-01-2018,H157,34175,37088,8.18,149,35728,35785,0.16,,57:49.1
892,07-01-2018,H156,35091,36357,3.54,49,35737,35781,0.12,,57:49.1
891,07-01-2018,H155,34604,36770,6.07,77,35706,35750,0.12,,57:49.1
895,08-01-2018,K211,-1,-1,0,-1,-1,-1,0,,01:04.8
896,08-01-2018,K212,-1,-1,0,-1,-1,-1,0,,01:04.8
897,08-01-2018,K220,35358,36376,2.84,9,35705,35713,0.02,,41:10.1
898,08-01-2018,K221,35317,36142,2.31,4,35716,35736,0.06,,41:10.1
899,08-01-2018,K218,35379,36033,1.83,13,35687,35692,0.01,,07:35.5
900,08-01-2018,K219,35388,35957,1.6,6,35685,35687,0.01,,07:35.5
901,08-01-2018,H171,35491,36053,1.57,28,35714,35755,0.11,,08:39.7
902,08-01-2018,H175,34047,37023,8.37,46,35740,35774,0.1,,08:39.7
906,08-01-2018,H173,-1,-1,0,-1,-1,-1,0,,08:39.7
904,08-01-2018,H177,35319,36208,2.49,30,35748,35774,0.07,,08:39.7
903,08-01-2018,H176,35440,36014,1.61,16,35742,35764,0.06,,08:39.7
905,08-01-2018,H174,35396,36142,2.09,50,35718,35753,0.1,,08:39.7
909,09-01-2018,K239,35239,36259,2.85,21,35718,35727,0.03,,57:37.6
908,09-01-2018,K238,35171,36158,2.77,6,35715,35718,0.01,,57:37.7
910,09-01-2018,K250,35400,36009,1.71,17,35702,35708,0.02,,57:37.7
907,09-01-2018,K237,35148,36280,3.17,11,35715,35719,0.01,,57:37.7
911,08-06-2017,K150,34949,36520,4.4,35,35708,35723,0.04,,
912,08-06-2017,K173,35023,36385,3.81,81,35705,35733,0.08,,
913,08-06-2017,K147,35317,35796,1.35,43,35560,35570,0.03,,
914,08-06-2017,K149,35232,36045,2.28,43,35712,35737,0.07,,
915,08-06-2017,K167,34796,36640,5.16,44,35671,35695,0.07,,
916,08-09-2016,H129,35326,36028,1.97,54,35690,35744,0.15,,
917,08-09-2016,H130,35186,36120,2.62,-1,35707,35741,0.1,,
918,08-09-2016,H128,35258,36191,2.61,149,35721,35744,0.06,,
919,08-09-2016,H127,35284,36104,2.3,170,35723,35747,0.07,,
923,08-01-2018,K172,34963,36153,3.35,23,35527,35547,0.06,,02:45.7
920,08-01-2018,K208,35427,35885,1.28,44,35698,35705,0.02,,02:45.7
921,08-01-2018,K210,35382,36070,1.93,48,35713,35723,0.03,,02:45.7
922,08-01-2018,K209,34320,36741,6.81,26,35519,35531,0.03,,02:45.7
924,09-12-2017,K121,35321,36244,2.58,32,35716,35735,0.05,,
925,09-12-2017,K168,34798,35986,3.36,43,35539,35567,0.08,,
926,09-12-2017,K115,35249,35819,1.6,36,35541,35553,0.03,,
927,09-12-2017,K114,35153,36108,2.68,23,35715,35736,0.06,,
928,09-12-2017,K171,35320,36097,2.18,48,35713,35736,0.06,,
930,09-01-2018,H161,35140,36378,3.46,15,35732,35761,0.08,,05:10.3
931,09-01-2018,H162,35392,36050,1.84,33,35742,35771,0.08,,05:10.3
929,09-01-2018,H163,34928,36499,4.4,57,35689,35781,0.26,,05:10.4
934,09-01-2018,K169,34890,36189,3.66,49,35563,35573,0.03,,16:41.6
932,09-01-2018,K120,35074,35923,2.39,47,35527,35541,0.04,,16:41.7
933,09-01-2018,K141,35352,36054,1.97,29,35672,35708,0.1,,16:41.7
935,09-01-2018,H171,35495,36044,1.53,34,35719,35749,0.08,,24:35.8
940,09-01-2018,H173,35199,36095,2.51,13,35732,35745,0.04,,24:35.8
936,09-01-2018,H175,34035,37015,8.39,46,35732,35782,0.14,,24:35.9
938,09-01-2018,H177,35322,36210,2.48,31,35746,35775,0.08,,24:35.9
937,09-01-2018,H176,35438,36011,1.6,18,35748,35757,0.03,,24:35.9
939,09-01-2018,H174,35396,36136,2.07,50,35717,35749,0.09,,24:35.9
943,10-01-2018,K239,35239,36259,2.85,21,35719,35727,0.02,,52:24.3
942,10-01-2018,K238,35175,36157,2.75,6,35717,35720,0.01,,52:24.3
944,10-01-2018,K250,35398,36013,1.72,17,35702,35708,0.02,,52:24.3
941,10-01-2018,K237,35322,35998,1.9,12,35711,35720,0.03,,52:24.3
949,09-01-2018,K167,34792,36633,5.16,36,35669,35696,0.08,,20:21.1
947,09-01-2018,K147,35323,35793,1.32,47,35559,35570,0.03,,20:21.1
945,09-01-2018,K150,34958,36518,4.37,37,35709,35724,0.04,,20:21.1
946,09-01-2018,K173,35008,36122,3.13,50,35705,35735,0.08,,20:21.1
948,09-01-2018,K149,35255,36070,2.29,27,35712,35735,0.06,,20:21.1
952,09-01-2018,H128,35250,36161,2.55,151,35720,35745,0.07,,24:25.5
950,09-01-2018,H129,35470,35988,1.45,60,35688,35746,0.16,,24:25.5
951,09-01-2018,H130,35186,36120,2.62,-1,35707,35741,0.1,,24:25.5
953,09-01-2018,H127,35285,36020,2.06,170,35723,35746,0.06,,24:25.5
954,09-08-2016,K208,35440,35919,1.34,46,35699,35706,0.02,,
955,09-08-2016,K210,35386,36075,1.93,50,35711,35722,0.03,,
956,09-08-2016,K209,34321,36741,6.81,27,35517,35532,0.04,,
957,09-08-2016,K172,34970,36149,3.32,24,35524,35550,0.07,,
960,10-01-2018,K115,35276,35831,1.56,36,35541,35552,0.03,,52:44.9
958,10-01-2018,K121,35322,36244,2.58,32,35716,35734,0.05,,52:44.9
959,10-01-2018,K168,34800,35986,3.35,45,35538,35567,0.08,,52:44.9
961,10-01-2018,K114,35162,36102,2.64,23,35714,35735,0.06,,52:44.9
962,10-01-2018,K171,35320,36096,2.17,49,35713,35738,0.07,,52:44.9
964,10-01-2018,H161,35141,36387,3.48,8,35734,35760,0.07,,07:58.2
965,10-01-2018,H162,35390,36046,1.84,37,35740,35775,0.1,,07:58.2
963,10-01-2018,H163,35352,36206,2.39,42,35710,35767,0.16,,07:58.2
968,10-01-2018,K169,34890,36190,3.66,49,35562,35573,0.03,,10:57.5
966,10-01-2018,K120,35064,35930,2.44,49,35528,35542,0.04,,10:57.5
967,10-01-2018,K141,35332,36064,2.05,30,35672,35709,0.1,,10:57.5
969,10-01-2018,H171,35293,36127,2.34,18,35717,35755,0.11,,34:26.9
974,10-01-2018,H173,35202,36091,2.49,15,35726,35748,0.06,,34:26.9
970,10-01-2018,H175,34047,37024,8.38,46,35740,35771,0.09,,34:26.9
972,10-01-2018,H177,35310,36196,2.48,31,35755,35769,0.04,,34:26.9
971,10-01-2018,H176,35435,36009,1.61,19,35745,35761,0.04,,34:26.9
973,10-01-2018,H174,35395,36136,2.07,62,35719,35749,0.08,,34:26.9
975,10-01-2018,K211,-1,-1,0,-1,-1,-1,0,,05:36.8
976,10-01-2018,K212,-1,-1,0,-1,-1,-1,0,,05:36.8
977,10-01-2018,K220,35354,36392,2.89,11,35706,35715,0.03,,43:13.2
978,10-01-2018,K221,35170,36188,2.85,5,35734,35743,0.03,,43:13.2
979,10-05-2017,H166,35071,36442,3.83,98,35761,35783,0.06,,
980,10-05-2017,H167,35299,36221,2.58,63,35731,35774,0.12,,
981,10-05-2017,H165,35177,36265,3.05,27,35659,35680,0.06,,
984,11-01-2018,K239,35211,36234,2.86,21,35719,35726,0.02,,59:22.4
983,11-01-2018,K238,35172,36157,2.76,6,35715,35717,0.01,,59:22.4
985,11-01-2018,K250,35398,36008,1.71,18,35700,35707,0.02,,59:22.4
982,11-01-2018,K237,35322,35999,1.9,11,35710,35720,0.03,,59:22.4
986,11-12-2017,K121,35309,36253,2.64,35,35716,35735,0.05,,
987,11-12-2017,K168,34805,35986,3.34,30,35539,35566,0.08,,
988,11-12-2017,K115,35277,35831,1.56,36,35542,35552,0.03,,
989,11-12-2017,K114,35163,36100,2.63,23,35716,35737,0.06,,
990,11-12-2017,K171,35315,36096,2.19,52,35713,35737,0.07,,
993,11-01-2018,K169,34896,36189,3.64,54,35562,35574,0.03,,45:57.2
991,11-01-2018,K120,35045,35952,2.56,30,35528,35542,0.04,,45:57.2
992,11-01-2018,K141,35352,36053,1.96,32,35671,35708,0.1,,45:57.2
994,11-01-2018,H161,35124,36399,3.57,10,35734,35756,0.06,,53:05.8
995,11-01-2018,H162,35396,36050,1.83,37,35741,35773,0.09,,53:05.8
996,11-01-2018,H163,35329,36179,2.38,47,35707,35777,0.2,,53:05.8
997,11-12-2016,K211,-1,-1,0,-1,-1,-1,0,,
998,11-12-2016,K212,-1,-1,0,-1,-1,-1,0,,
999,11-05-2017,H166,35071,36436,3.82,98,35764,35779,0.04,,
1000,11-05-2017,H167,35294,36220,2.59,63,35728,35775,0.13,,
1001,11-05-2017,H165,35173,36267,3.06,32,35654,35682,0.08,,
1002,11-01-2018,K220,35358,36375,2.84,10,35707,35716,0.03,,54:49.6
1003,11-01-2018,K221,35188,36195,2.82,5,35733,35743,0.03,,54:49.6
1004,11-01-2018,H171,35427,36010,1.63,23,35723,35744,0.06,,26:56.0
1009,11-01-2018,H173,35232,36106,2.45,15,35727,35746,0.05,,26:56.0
1005,11-01-2018,H175,34053,37029,8.37,47,35739,35771,0.09,,26:56.0
1007,11-01-2018,H177,35322,36206,2.47,32,35748,35774,0.07,,26:56.0
1006,11-01-2018,H176,35437,36018,1.63,20,35748,35757,0.03,,26:56.0
1008,11-01-2018,H174,35408,36124,2,64,35710,35749,0.11,,26:56.0
1010,12-12-2017,K121,35313,36246,2.61,35,35715,35734,0.05,,
1011,12-12-2017,K168,34813,35987,3.32,33,35538,35566,0.08,,
1012,12-12-2017,K115,35287,35823,1.51,38,35535,35560,0.07,,
1013,12-12-2017,K114,35167,36091,2.59,23,35710,35738,0.08,,
1014,12-12-2017,K171,35301,36096,2.23,53,35710,35738,0.08,,
1015,12-04-2017,H166,35077,36433,3.79,101,35762,35777,0.04,,
1016,12-04-2017,H167,35296,36219,2.58,67,35729,35775,0.13,,
1017,12-04-2017,H165,35177,36269,3.06,34,35655,35681,0.07,,
1018,12-01-2018,H161,35117,36394,3.57,11,35728,35763,0.1,,27:51.4
1019,12-01-2018,H162,35379,36066,1.92,25,35741,35772,0.09,,27:51.4
1020,12-01-2018,H163,35335,36184,2.37,47,35689,35778,0.25,,27:51.4
1023,12-01-2018,K169,34916,36254,3.76,33,35562,35573,0.03,,44:01.7
1021,12-01-2018,K120,35045,35954,2.56,36,35527,35542,0.04,,44:01.8
1022,12-01-2018,K141,35377,36057,1.9,33,35672,35707,0.1,,44:01.8
1024,12-01-2018,H171,35438,36020,1.63,25,35714,35754,0.11,,27:17.9
1029,12-01-2018,H173,35485,36004,1.45,17,35725,35746,0.06,,27:17.9
1025,12-01-2018,H175,34042,37017,8.37,47,35731,35782,0.14,,27:17.9
1027,12-01-2018,H177,35312,36198,2.48,39,35755,35768,0.04,,27:17.9
1026,12-01-2018,H176,35439,36020,1.63,20,35743,35759,0.04,,27:17.9
1028,12-01-2018,H174,35411,36133,2.02,36,35716,35754,0.11,,27:17.9
1030,13-09-2017,K121,35305,36259,2.67,39,35716,35735,0.05,,
1031,13-09-2017,K168,34810,35987,3.32,34,35538,35568,0.08,,
1032,13-09-2017,K115,35276,35832,1.56,39,35543,35554,0.03,,
1033,13-09-2017,K114,35163,36100,2.63,24,35715,35735,0.06,,
